id situps situp.cen uwm uwf hm hf owm owf om of
192 50 0 0 0 0 1 0 0 0 0
193 45 0 0 0 0 1 0 0 0 0
194 176 176 0 0 0 1 0 0 0 0
196 92 92 0 0 0 1 0 0 0 0
197 80 80 0 0 0 1 0 0 0 0
198 35 0 0 0 0 1 0 0 0 0
199 64 0 0 0 0 1 0 0 0 0
200 60 0 0 0 0 1 0 0 0 0
201 30 0 0 0 0 0 0 1 0 0
202 32 0 0 0 0 1 0 0 0 0
204 31 0 0 0 0 0 0 0 1 0
205 32 0 0 0 1 0 0 0 0 0
206 24 0 0 0 0 0 1 0 0 0
207 35 0 0 0 0 0 0 0 1 0
208 100 100 0 0 0 0 1 0 0 0
209 250 250 0 0 1 0 0 0 0 0

